"e","# coding=utf-8
# This is a sample Python script.

# Press ⌃R to execute it or replace it with your code.
# Press Double ⇧ to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(""Hi, {0}"".format(name))  # Press ⌘F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
","","0","15942","main.py","1.1.2 for 2021-2022 @t1","17"
"e","","# coding=utf-8
# This is a sample Python script.

# Press ⌃R to execute it or replace it with your code.
# Press Double ⇧ to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(""Hi, {0}"".format(name))  # Press ⌘F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
","0","18787","main.py","1.1.2 for 2021-2022 @t1","17"
"e","#","","0","19700","main.py","1.1.2 for 2021-2022 @t1","17"
"k","#",,"1","19715","main.py","1.1.2 for 2021-2022 @t1","17"
"e"," ","","1","20386","main.py","1.1.2 for 2021-2022 @t1","17"
"k"," ",,"2","20391","main.py","1.1.2 for 2021-2022 @t1","17"
"e","J","","2","20701","main.py","1.1.2 for 2021-2022 @t1","17"
"k","J",,"3","20702","main.py","1.1.2 for 2021-2022 @t1","17"
"e"," ","","3","20839","main.py","1.1.2 for 2021-2022 @t1","17"
"e",""," ","3","20857","main.py","1.1.2 for 2021-2022 @t1","17"
"e","o","","3","20858","main.py","1.1.2 for 2021-2022 @t1","17"
"k","o",,"4","20861","main.py","1.1.2 for 2021-2022 @t1","17"
"e"," ","","4","20890","main.py","1.1.2 for 2021-2022 @t1","17"
"e",""," ","4","20911","main.py","1.1.2 for 2021-2022 @t1","17"
"e","h","","4","20912","main.py","1.1.2 for 2021-2022 @t1","17"
"k","h",,"5","20913","main.py","1.1.2 for 2021-2022 @t1","17"
"e"," ","","5","20943","main.py","1.1.2 for 2021-2022 @t1","17"
"e",""," ","5","21084","main.py","1.1.2 for 2021-2022 @t1","17"
"e","n","","5","21085","main.py","1.1.2 for 2021-2022 @t1","17"
"k","n",,"6","21085","main.py","1.1.2 for 2021-2022 @t1","17"
"e"," ","","6","21165","main.py","1.1.2 for 2021-2022 @t1","17"
"k"," ",,"7","21166","main.py","1.1.2 for 2021-2022 @t1","17"
"e","E","","7","21388","main.py","1.1.2 for 2021-2022 @t1","17"
"k","E",,"8","21390","main.py","1.1.2 for 2021-2022 @t1","17"
"e"," ","","8","21465","main.py","1.1.2 for 2021-2022 @t1","17"
"e",""," ","8","21545","main.py","1.1.2 for 2021-2022 @t1","17"
"e","d","","8","21546","main.py","1.1.2 for 2021-2022 @t1","17"
"k","d",,"9","21547","main.py","1.1.2 for 2021-2022 @t1","17"
"e","w","","9","21701","main.py","1.1.2 for 2021-2022 @t1","17"
"k","w",,"10","21702","main.py","1.1.2 for 2021-2022 @t1","17"
"e","a","","10","21737","main.py","1.1.2 for 2021-2022 @t1","17"
"k","a",,"11","21738","main.py","1.1.2 for 2021-2022 @t1","17"
"e","r","","11","21837","main.py","1.1.2 for 2021-2022 @t1","17"
"k","r",,"12","21838","main.py","1.1.2 for 2021-2022 @t1","17"
"e","d","","12","21988","main.py","1.1.2 for 2021-2022 @t1","17"
"k","d",,"13","21989","main.py","1.1.2 for 2021-2022 @t1","17"
"e","s","","13","22039","main.py","1.1.2 for 2021-2022 @t1","17"
"k","s",,"14","22041","main.py","1.1.2 for 2021-2022 @t1","17"
"e","
","","14","22458","main.py","1.1.2 for 2021-2022 @t1","17"
"e","
","","15","22557","main.py","1.1.2 for 2021-2022 @t1","17"
"a","Outside edit","","","1643403363795","main.py","1.1.2 for 2021-2022 @t1","17"
"e","","# John Edwards

","0","1643403363795","main.py","1.1.2 for 2021-2022 @t1","17"
"e","","","0","1643403363795","main.py","1.1.2 for 2021-2022 @t1","17"
"a","Outside edit","","","1643403363795","deidentpy","1.1.2 for 2021-2022 @t1","17"
"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.2 for 2021-2022 @t1","0"
"e","# John Edwards

p","","0","24391","main.py","1.1.2 for 2021-2022 @t1","0"
"k","p",,"17","24392","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","17","24414","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","17","24516","main.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","17","24517","main.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"18","24517","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","18","24527","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","18","24616","main.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","18","24617","main.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"19","24617","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","19","24631","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","19","24662","main.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","19","24663","main.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"20","24664","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","20","24673","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","20","24699","main.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","20","24700","main.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"21","24700","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","21","24709","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","21","25207","main.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","21","25208","main.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","22","25211","main.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"22","25214","main.py","1.1.2 for 2021-2022 @t1","0"
"e","'","","22","25424","main.py","1.1.2 for 2021-2022 @t1","0"
"e","'","","23","25428","main.py","1.1.2 for 2021-2022 @t1","0"
"k","'",,"23","25429","main.py","1.1.2 for 2021-2022 @t1","0"
"e","H","","23","25830","main.py","1.1.2 for 2021-2022 @t1","0"
"k","H",,"24","25832","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","24","25842","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","24","25965","main.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","24","25966","main.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"25","25966","main.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","25","26055","main.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"26","26056","main.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","26","26202","main.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"27","26203","main.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","27","26382","main.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"28","26383","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","28","26586","main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"29","26587","main.py","1.1.2 for 2021-2022 @t1","0"
"e","w","","29","26866","main.py","1.1.2 for 2021-2022 @t1","0"
"k","w",,"30","26867","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","30","26883","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","30","26967","main.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","30","26968","main.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"31","26969","main.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","31","27046","main.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"32","27047","main.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","32","27136","main.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"33","27137","main.py","1.1.2 for 2021-2022 @t1","0"
"e","d","","33","27203","main.py","1.1.2 for 2021-2022 @t1","0"
"k","d",,"34","27204","main.py","1.1.2 for 2021-2022 @t1","0"
"e","
","","36","30207","main.py","1.1.2 for 2021-2022 @t1","0"
"e","p","","37","30568","main.py","1.1.2 for 2021-2022 @t1","0"
"k","p",,"38","30569","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","orld","30","30581","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","30","30582","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","35","30583","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","30","30581","main.py","1.1.2 for 2021-2022 @t1","0"
"e","orld","","30","30582","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","38","30757","main.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","38","30758","main.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"39","30770","main.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","39","30819","main.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"40","30829","main.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","40","30843","main.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"41","30852","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","41","30877","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","41","30883","main.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","41","30884","main.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"42","30888","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","42","30906","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","42","31426","main.py","1.1.2 for 2021-2022 @t1","0"
"e","(","","42","31427","main.py","1.1.2 for 2021-2022 @t1","0"
"e",")","","43","31429","main.py","1.1.2 for 2021-2022 @t1","0"
"k","(",,"43","31430","main.py","1.1.2 for 2021-2022 @t1","0"
"e","'","","43","31570","main.py","1.1.2 for 2021-2022 @t1","0"
"e","'","","44","31573","main.py","1.1.2 for 2021-2022 @t1","0"
"k","'",,"44","31574","main.py","1.1.2 for 2021-2022 @t1","0"
"e","M","","44","32204","main.py","1.1.2 for 2021-2022 @t1","0"
"k","M",,"45","32206","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","45","32222","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","45","32425","main.py","1.1.2 for 2021-2022 @t1","0"
"e","y","","45","32426","main.py","1.1.2 for 2021-2022 @t1","0"
"k","y",,"46","32427","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","46","32508","main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"47","32509","main.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","47","32809","main.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"48","32811","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","48","32826","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","48","32896","main.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","48","32897","main.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"49","32897","main.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","49","33019","main.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"50","33020","main.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","50","33098","main.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"51","33099","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","51","33212","main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"52","33213","main.py","1.1.2 for 2021-2022 @t1","0"
"e","i","","52","33390","main.py","1.1.2 for 2021-2022 @t1","0"
"k","i",,"53","33392","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","53","33401","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","53","33505","main.py","1.1.2 for 2021-2022 @t1","0"
"e","s","","53","33506","main.py","1.1.2 for 2021-2022 @t1","0"
"k","s",,"54","33506","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","54","33585","main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"55","33586","main.py","1.1.2 for 2021-2022 @t1","0"
"e","J","","55","34093","main.py","1.1.2 for 2021-2022 @t1","0"
"k","J",,"56","34095","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","56","34113","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","56","34237","main.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","56","34238","main.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"57","34239","main.py","1.1.2 for 2021-2022 @t1","0"
"e","h","","57","34313","main.py","1.1.2 for 2021-2022 @t1","0"
"k","h",,"58","34314","main.py","1.1.2 for 2021-2022 @t1","0"
"e","n","","58","34500","main.py","1.1.2 for 2021-2022 @t1","0"
"k","n",,"59","34503","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","59","34573","main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"60","34574","main.py","1.1.2 for 2021-2022 @t1","0"
"e","E","","60","34800","main.py","1.1.2 for 2021-2022 @t1","0"
"k","E",,"61","34802","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","61","34813","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","61","34944","main.py","1.1.2 for 2021-2022 @t1","0"
"e","d","","61","34945","main.py","1.1.2 for 2021-2022 @t1","0"
"k","d",,"62","34945","main.py","1.1.2 for 2021-2022 @t1","0"
"e","w","","62","35094","main.py","1.1.2 for 2021-2022 @t1","0"
"k","w",,"63","35096","main.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","63","35158","main.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"64","35160","main.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","64","35273","main.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"65","35274","main.py","1.1.2 for 2021-2022 @t1","0"
"e","d","","65","35405","main.py","1.1.2 for 2021-2022 @t1","0"
"k","d",,"66","35406","main.py","1.1.2 for 2021-2022 @t1","0"
"e","s","","66","35476","main.py","1.1.2 for 2021-2022 @t1","0"
"k","s",,"67","35478","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","s","66","37039","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","d","65","37267","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","r","64","37442","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","a","63","37617","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","w","62","37768","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","d","61","38224","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","E","60","38443","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","59","38631","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","n","58","38844","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","h","57","39023","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","o","56","39212","main.py","1.1.2 for 2021-2022 @t1","0"
"e","","J","55","39414","main.py","1.1.2 for 2021-2022 @t1","0"
"e","H","","55","43936","main.py","1.1.2 for 2021-2022 @t1","0"
"k","H",,"56","43939","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","56","43954","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","56","44173","main.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","56","44174","main.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"57","44174","main.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","57","44283","main.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"58","44284","main.py","1.1.2 for 2021-2022 @t1","0"
"e","o","","58","44427","main.py","1.1.2 for 2021-2022 @t1","0"
"k","o",,"59","44428","main.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","59","44610","main.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"60","44612","main.py","1.1.2 for 2021-2022 @t1","0"
"e","d","","60","44724","main.py","1.1.2 for 2021-2022 @t1","0"
"k","d",,"61","44726","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","61","44848","main.py","1.1.2 for 2021-2022 @t1","0"
"k"," ",,"62","44850","main.py","1.1.2 for 2021-2022 @t1","0"
"e","F","","62","45061","main.py","1.1.2 for 2021-2022 @t1","0"
"k","F",,"63","45063","main.py","1.1.2 for 2021-2022 @t1","0"
"e"," ","","63","45079","main.py","1.1.2 for 2021-2022 @t1","0"
"e",""," ","63","45147","main.py","1.1.2 for 2021-2022 @t1","0"
"e","a","","63","45148","main.py","1.1.2 for 2021-2022 @t1","0"
"k","a",,"64","45149","main.py","1.1.2 for 2021-2022 @t1","0"
"e","l","","64","45309","main.py","1.1.2 for 2021-2022 @t1","0"
"k","l",,"65","45311","main.py","1.1.2 for 2021-2022 @t1","0"
"e","t","","65","45466","main.py","1.1.2 for 2021-2022 @t1","0"
"k","t",,"66","45468","main.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","66","45588","main.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"67","45589","main.py","1.1.2 for 2021-2022 @t1","0"
"e","r","","67","45690","main.py","1.1.2 for 2021-2022 @t1","0"
"k","r",,"68","45692","main.py","1.1.2 for 2021-2022 @t1","0"
"e","m","","68","46464","main.py","1.1.2 for 2021-2022 @t1","0"
"k","m",,"69","46466","main.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","69","46748","main.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"70","46749","main.py","1.1.2 for 2021-2022 @t1","0"
"e","y","","70","46971","main.py","1.1.2 for 2021-2022 @t1","0"
"k","y",,"71","46972","main.py","1.1.2 for 2021-2022 @t1","0"
"e","e","","71","47049","main.py","1.1.2 for 2021-2022 @t1","0"
"k","e",,"72","47050","main.py","1.1.2 for 2021-2022 @t1","0"
